Bee_ID,Colony,Treatment,Wing_MM,Initial_date,Time_started_military,Initial_pollen_weight,Initial_sucrose_weight,Final_date,Final_time_military,Final_pollen_weight,Final_sucrose_weight,Net_pollen,Net_sucrose,Notes
1,EK-1,SUN,2.207,1/11/2021,17:00,0.374,30.8717,1/13/2021,16:00,0.3464,27.4642,0.0276,3.4075,
2,EK-1,BW,2.897,1/11/2021,17:00,0.3808,30.641,1/13/2021,16:00,0.3123,27.1509,0.0685,3.4901,
3,EK-1,MAP,2.567,1/11/2021,17:00,0.3649,33.4213,1/13/2021,16:00,0.2851,30.6127,0.0798,2.8086,
4,EK-1,AMB,2.492,1/11/2021,17:00,0.3315,31.9669,1/13/2021,16:00,0.2389,29.711,0.0926,2.2559,
5,EK-1,XAN,,1/11/2021,17:00,0.3748,29.6009,1/13/2021,16:00,0.2712,27.2344,0.1036,2.3665,
6,EK-1,IVA,2.595,1/11/2021,17:00,0.3975,37.5407,1/13/2021,16:00,0.2212,34.5284,0.1763,3.0123,
7,EK-2,SUN,,1/11/2021,17:00,0.3857,28.0785,1/13/2021,16:00,0.3555,25.5513,0.0302,2.5272,
8,EK-2,BW,2.412,1/11/2021,17:00,0.3802,32.1289,1/13/2021,16:00,0.3365,29.6486,0.0437,2.4803,
9,EK-2,MAP,,1/11/2021,17:00,0.3589,29.6224,1/13/2021,16:00,NA,NA,NA,NA,
10,EK-2,AMB,2.905,1/11/2021,17:00,0.3531,29.7341,1/13/2021,16:00,0.2617,24.988,0.0914,4.7461,
11,EK-2,XAN,,1/11/2021,17:00,0.3711,37.0984,1/13/2021,16:00,0.2845,33.3155,0.0866,3.7829,
12,EK-2,IVA,,1/11/2021,17:00,0.3823,29.2706,1/13/2021,16:00,0.2571,26.2334,0.1252,3.0372,
13,CS-2,SUN,2.224,1/11/2021,17:00,0.3998,29.1511,1/13/2021,16:00,0.3647,25.9195,0.0351,3.2316,
14,CS-2,BW,2.686,1/11/2021,17:00,0.3742,28.8967,1/13/2021,16:00,0.3293,17.0704,0.0449,11.8263,
15,CS-2,MAP,2.385,1/11/2021,17:00,0.4045,29.0245,1/13/2021,16:00,0.3461,26.0726,0.0584,2.9519,
16,CS-2,AMB,2.722,1/11/2021,17:00,0.3259,28.9463,1/13/2021,16:00,0.2559,25.1823,0.07,3.764,
17,CS-2,XAN,2.533,1/11/2021,17:00,0.3899,28.6697,1/13/2021,16:00,0.2793,25.8967,0.1106,2.773,
18,CS-2,IVA,2.555,1/11/2021,17:00,0.3808,31.2959,1/13/2021,16:00,0.1899,27.9145,0.1909,3.3814,
19,EK-1,SUN,2.335,1/11/2021,17:00,0.3805,29.0867,1/13/2021,16:00,0.3186,25.9554,0.0619,3.1313,
20,EK-1,BW,2.042,1/11/2021,17:00,0.3889,26.5673,1/13/2021,16:00,0.367,17.7937,0.0219,8.7736,
21,EK-1,MAP,2.711,1/11/2021,17:00,0.3991,29.1883,1/13/2021,16:00,0.284,26.3615,0.1151,2.8268,
