Bee_ID,Colony,Treatment,Inoc_Date,Count,Wing_MM,Dead,Death_date,Notes,LAB,Pollen in bottom of gut sample*,Days_til_dead
1,EK-1,SUN,1/11/2021,14,2.207,0,,,Adler,,7
2,EK-1,BW,1/11/2021,68,2.897,0,,,Adler,,7
3,EK-1,MAP,1/11/2021,171,2.567,0,,,Adler,,7
4,EK-1,AMB,1/11/2021,0,2.492,0,,,Adler,,7
5,EK-1,XAN,1/11/2021,NA,2.547,1,1/15/2021,,Adler,,4
6,EK-1,IVA,1/11/2021,0,2.595,0,,,Adler,,7
7,EK-2,SUN,1/11/2021,NA,NA,1,1/17/2021,,Adler,,6
8,EK-2,BW,1/11/2021,173,2.412,0,,,Adler,,7
9,EK-2,MAP,1/11/2021,NA,NA,1,1/12/2021,,Adler,,1
10,EK-2,AMB,1/11/2021,11,2.905,0,,,Adler,,7
11,EK-2,XAN,1/11/2021,NA,2.567,1,1/14/2021,,Adler,,3
12,EK-2,IVA,1/11/2021,NA,2.704,1,1/14/2021,,Adler,,3
13,EK-3,SUN,1/11/2021,2,2.224,0,,,Adler,,7
14,EK-3,BW,1/11/2021,123,2.686,0,,,Adler,,7
15,EK-3,MAP,1/11/2021,22,2.385,0,,,Adler,,7
16,EK-3,AMB,1/11/2021,0,2.722,0,,,Adler,,7
17,EK-3,XAN,1/11/2021,0,2.533,0,,looks like it was eating its diet ,Adler,,7
18,EK-3,IVA,1/11/2021,0,2.555,0,,,Adler,,7
19,EK-1,SUN,1/11/2021,0,2.335,0,,,Adler,,7
20,EK-1,BW,1/11/2021,6,2.042,0,,,Adler,,7
21,EK-1,MAP,1/11/2021,503,2.711,0,,,Adler,,7
22,EK-1,AMB,1/11/2021,NA,2.461,1,1/14/2021,,Adler,,3
23,EK-1,XAN,1/11/2021,NA,3.096,1,1/13/2021,,Adler,,2
24,EK-1,IVA,1/11/2021,NA,2.942,1,1/14/2021,,Adler,,3
25,EK-2,SUN,1/11/2021,61,2.467,0,,,Adler,,7
26,EK-2,BW,1/11/2021,NA,2.872,NA,,no sucrose - don't count in mortality analysis ,Adler,,7
27,EK-2,MAP,1/11/2021,128,2.701,0,,,Adler,,7
28,EK-2,AMB,1/11/2021,NA,2.667,1,1/13/2021,,Adler,,2
29,EK-2,XAN,1/11/2021,NA,2.615,1,1/13/2021,,Adler,,2
30,EK-2,IVA,1/11/2021,NA,2.873,1,1/16/2021,,Adler,,5
31,CS-2,SUN,1/11/2021,0,2.438,0,,,Adler,,7
32,CS-2,BW,1/11/2021,115,2.402,0,,,Adler,,7
33,CS-2,MAP,1/11/2021,31,2.381,0,,,Adler,,7
34,CS-2,AMB,1/11/2021,1,2.169,0,,,Adler,,7
35,CS-2,XAN,1/11/2021,0,2.265,0,,,Adler,,7
36,CS-2,IVA,1/11/2021,0,2.465,0,,,Adler,,7
37,EK-1,SUN,1/12/2021,NA,2.861,1,1/14/2021,,Adler,,2
38,EK-1,BW,1/12/2021,NA,2.791,1,1/18/2021,,Adler,,6
39,EK-1,MAP,1/12/2021,1,2.237,0,,,Adler,,7
40,EK-1,AMB,1/12/2021,0,2.814,0,,,Adler,,7
41,EK-1,XAN,1/12/2021,0,2.713,0,,,Adler,,7
42,EK-1,IVA,1/12/2021,NA,3.001,1,1/16/2021,,Adler,,4
43,EK-2,SUN,1/12/2021,1,2.333,0,,,Adler,,7
44,EK-2,BW,1/12/2021,79,2.1117,0,,,Adler,,7
45,EK-2,MAP,1/12/2021,304,2.307,0,,,Adler,,7
46,EK-2,AMB,1/12/2021,NA,2.547,1,1/19/2021,,Adler,,7
47,EK-2,XAN,1/12/2021,NA,2.337,1,1/16/2021,,Adler,,4
48,EK-2,IVA,1/12/2021,14,2.839,0,,,Adler,,7
49,CS-2,SUN,1/12/2021,0,2.306,0,,,Adler,,7
50,CS-2,BW,1/12/2021,NA,2.32,1,1/16/2021,,Adler,,4
51,CS-2,MAP,1/12/2021,336,2.839,0,,,Adler,,7
52,CS-2,AMB,1/12/2021,NA,NA,NA,,escaped 1/16/21,Adler,,7
53,CS-2,XAN,1/12/2021,1,1.982,0,,,Adler,,7
54,CS-2,IVA,1/12/2021,NA,2.963,1,1/19/2021,,Adler,,7
