ID,treatment,species,pollen_form,colony,inoc_date,source_colony_ID,dissection_date,count,bee_size,notes,escape,death_date,death,days_alive,dead_or_escaped
1,SF-CON,Sunflower,CON,SL-1,11/12/2019,17A,11/19/2019,0,0.191,,0,,0,,0
2,BW-CON,Buckwheat,CON,SL-1,11/12/2019,17A,11/19/2019,,,,0,11/15/2019,1,3,1
3,WF-CON,Wildflower,CON,SL-1,11/12/2019,17A,11/19/2019,,,Unhealthy/slow after innoculation on 11/12/19,0,11/13/2019,1,1,1
4,SF-MET,Sunflower,MET,SL-1,11/12/2019,17A,11/19/2019,0,0.223,,0,,0,,0
5,BW-MET,Buckwheat,MET,SL-1,11/12/2019,17A,11/19/2019,,,,0,11/18/2019,1,6,1
6,SF-SHE,Sunflower,SHE,SL-1,11/12/2019,17A,11/19/2019,,,,0,11/18/2019,1,6,1
7,BW-SHE,Buckwheat,SHE,SL-1,11/12/2019,17A,11/19/2019,5,0.213,,0,,0,,0
8,SF-CON,Sunflower,CON,SL-1,11/12/2019,17A,11/19/2019,2,0.24,,0,,0,,0
9,BW-CON,Buckwheat,CON,SL-1,11/12/2019,17A,11/19/2019,58,0.226,,0,,0,,0
10,WF-CON,Wildflower,CON,SL-1,11/12/2019,17A,11/19/2019,94,0.215,,0,,0,,0
11,SF-MET,Sunflower,MET,SL-1,11/12/2019,17A,11/19/2019,106,0.238,,0,,0,,0
12,BW-MET,Buckwheat,MET,SL-1,11/12/2019,17A,11/19/2019,,,,0,11/18/2019,1,6,1
13,SF-SHE,Sunflower,SHE,SL-1,11/12/2019,17A,11/19/2019,90,0.243,,0,,0,,0
14,BW-SHE,Buckwheat,SHE,SL-1,11/12/2019,17A,11/19/2019,31,0.235,,0,,0,,0
15,SF-CON,Sunflower,CON,SF-51,11/12/2019,17A,11/19/2019,0,0.207,,0,,0,,0
16,BW-CON,Buckwheat,CON,SF-51,11/12/2019,17A,11/19/2019,48,0.161,,0,,0,,0
17,WF-CON,Wildflower,CON,SF-51,11/12/2019,17A,11/19/2019,60,0.204,,0,,0,,0
18,SF-MET,Sunflower,MET,SF-51,11/12/2019,17A,11/19/2019,8,0.223,,0,,0,,0
19,BW-MET,Buckwheat,MET,SF-51,11/12/2019,17A,11/19/2019,42,0.184,Unhealthy/slow after innoculation on 11/12/19,0,,0,,0
20,SF-SHE,Sunflower,SHE,SF-51,11/12/2019,17A,11/19/2019,0,0.204,,0,,0,,0
21,BW-SHE,Buckwheat,SHE,SF-51,11/12/2019,17A,11/19/2019,,,Unhealthy/ slow after innoculation on 11/12/19,0,11/13/2019,1,1,1
22,SF-CON,Sunflower,CON,SF-51,11/12/2019,17A,11/19/2019,,,escape 11/18/19,1,,0,,1
23,BW-CON,Buckwheat,CON,SF-51,11/12/2019,17A,11/19/2019,0,0.191,,0,,0,,0
24,WF-CON,Wildflower,CON,SF-51,11/12/2019,17A,11/19/2019,95,0.172,,0,,0,,0
25,SF-MET,Sunflower,MET,SF-51,11/12/2019,17A,11/19/2019,45,0.249,,0,,0,,0
26,BW-MET,Buckwheat,MET,SF-51,11/12/2019,17A,11/19/2019,115,0.191,,0,,0,,0
27,SF-SHE,Sunflower,SHE,SF-51,11/12/2019,17A,11/19/2019,0,0.172,,0,,0,,0
28,BW-SHE,Buckwheat,SHE,SF-51,11/12/2019,17A,11/19/2019,197,0.237,,0,,0,,0
