ID,Initial_date,After Date,initial_pollen_weight,final_pollen_weight,initial_sucrose_weight,After Time,final_sucrose_weight,NOTES
1,11/12/2019,11/13/2019,0.4132,0.4063,18.0539,2:50 PM,16.4428,
2,11/12/2019,11/13/2019,0.2526,0.1898,17.8848,2:50 PM,16.1001,
3,11/12/2019,11/13/2019,0.2862,0.2755,18.1689,1:56 PM,17.2786,After consumption recorded after bee death. Sucrose leak
4,11/12/2019,11/13/2019,0.36,0.3565,17.7699,2:50 PM,16.2768,
5,11/12/2019,11/13/2019,0.3605,0.3621,17.8628,2:50 PM,16.693,
6,11/12/2019,11/13/2019,0.2135,0.1975,17.8367,2:50 PM,16.1795,
7,11/12/2019,11/13/2019,0.2157,0.2745,17.9335,2:50 PM,16.6687,
8,11/12/2019,11/13/2019,0.2484,0.2401,17.8646,2:50 PM,16.5314,
9,11/12/2019,11/13/2019,0.2371,0.2309,17.7716,2:50 PM,16.2931,
10,11/12/2019,11/13/2019,0.2385,0.2372,17.9487,2:50 PM,14.9419,Sucrose leak
11,11/12/2019,11/13/2019,0.3096,0.2707,18.047,2:50 PM,14.216,Sucrose leak
12,11/12/2019,11/13/2019,0.255,0.2531,18.9836,2:50 PM,9.7056,"Parafilm undone, empty petri dish, wet wick"
13,11/12/2019,11/13/2019,0.2258,0.2216,18.1194,2:50 PM,16.1633,
14,11/12/2019,11/13/2019,0.2335,0.223,15.0815,2:50 PM,13.1041,Minor sucrose leak
15,11/12/2019,11/13/2019,0.2729,0.2585,17.5838,2:50 PM,15.6736,Sucrose leak
16,11/12/2019,11/13/2019,0.2473,0.2309,16.0255,2:50 PM,14.5264,Sucrose leak
17,11/12/2019,11/13/2019,0.2445,0.2384,18.452,2:50 PM,16.4349,Sucrose leak
18,11/12/2019,11/13/2019,0.3082,0.2594,17.6623,2:50 PM,16.4603,
19,11/12/2019,11/13/2019,0.2773,0.2612,17.5293,2:50 PM,15.2934,Sucrose leak
20,11/12/2019,11/13/2019,0.2353,0.2081,17.3519,2:50 PM,15.9253,Sucrose leak and pollen spill
21,11/12/2019,11/13/2019,0.2269,0.2262,18.1581,1:53 PM,15.2668,After consumption recorded after bee death
22,11/12/2019,11/13/2019,0.2617,0.2491,18.1962,2:50 PM,16.7948,
23,11/12/2019,11/13/2019,0.2426,0.2004,18.2335,2:50 PM,16.1917,Sucrose leak
24,11/12/2019,11/13/2019,0.2635,0.2482,17.9394,2:50 PM,16.4933,
25,11/12/2019,11/13/2019,0.2829,0.2655,17.8977,2:50 PM,15.5519,Sucrose leak
26,11/12/2019,11/13/2019,0.2905,0.2858,18.0746,2:50 PM,16.539,Sucrose leak
27,11/12/2019,11/13/2019,0.2526,0.2446,17.9337,2:50 PM,15.826,Sucrose leak
28,11/12/2019,11/13/2019,0.2017,0.2131,17.918,2:50 PM,16.0583,
29,11/12/2019,11/13/2019,0.2478,0.2391,17.9338,2:50 PM,16.6602,
30,11/12/2019,11/13/2019,0.3285,0.3109,18.2124,2:50 PM,17.0381,
31,11/12/2019,11/13/2019,0.2242,0.1971,17.8782,2:50 PM,16.459,
32,11/12/2019,11/13/2019,0.3643,0.3456,17.986,2:50 PM,16.1861,
33,11/12/2019,11/13/2019,0.2638,0.259,17.8801,2:50 PM,16.5963,
34,11/12/2019,11/13/2019,0.2433,0.1954,17.9679,2:50 PM,16.6379,Sucrose leak and pollen spill
35,11/12/2019,11/13/2019,0.2264,0.2247,18.0923,2:50 PM,16.7544,
36,11/12/2019,11/13/2019,0.2785,0.256,18.1886,2:50 PM,15.0752,
37,11/12/2019,11/13/2019,0.2138,0.1995,17.5612,2:50 PM,14.4208,Sucrose leak
38,11/12/2019,11/13/2019,0.2443,0.2253,17.7117,2:50 PM,15.6688,Sucrose leak
39,11/12/2019,11/13/2019,0.2724,0.2576,17.9654,2:50 PM,16.428,
40,11/12/2019,11/13/2019,0.3811,0.3717,17.8446,2:50 PM,15.0547,Sucrose leak
41,11/12/2019,11/13/2019,0.2256,0.2121,18.0395,2:50 PM,16.5303,Sucrose leak and pollen spill
42,11/12/2019,11/13/2019,0.1998,0.2307,18.0633,2:50 PM,16.7928,Sucrose leak and pollen spill
43,20-Nov,22-Nov,0.1073,0.3095,17.1308,1:30 PM,15.5431,
44,20-Nov,22-Nov,0.4348,0.3972,17.084,1:30 PM,15.1355,
45,20-Nov,22-Nov,0.348,0.3186,17.6947,1:30 PM,15.445,
46,20-Nov,22-Nov,0.4299,0.2811,17.6115,1:30 PM,15.1575,
47,,22-Nov,,,,1:30 PM,,
48,20-Nov,22-Nov,0.3662,0.3645,17.4783,1:30 PM,15.2951,
49,20-Nov,22-Nov,0.3691,0.3296,17.8456,1:30 PM,15.3636,
50,20-Nov,22-Nov,0.407,0.3885,17.9539,1:30 PM,15.2951,
51,20-Nov,22-Nov,0.3904,0.3623,17.0902,1:12 PM,14.9626,
52,20-Nov,22-Nov,0.3697,0.3511,17.3304,1:12 PM,15.3092,
53,20-Nov,22-Nov,0.4627,0.3996,17.6662,1:12 PM,15.327,
54,20-Nov,22-Nov,0.4553,0.4342,17.8329,1:12 PM,15.6183,
55,20-Nov,22-Nov,0.3988,0.3644,18.0218,1:12 PM,15.7639,
56,20-Nov,22-Nov,0.3852,0.3634,17.3686,1:12 PM,14.8431,
57,20-Nov,22-Nov,0.4046,0.3946,17.2993,1:12 PM,14.8939,
58,,22-Nov,,,,1:12 PM,,
59,20-Nov,22-Nov,0.37,0.3764,17.1496,1:12 PM,15.827,
60,20-Nov,22-Nov,0.4806,0.4382,17.4458,1:12 PM,14.9893,
61,20-Nov,22-Nov,0.4651,0.4589,17.805,1:12 PM,16.0476,
62,20-Nov,22-Nov,0.3329,0.3001,17.912,1:12 PM,15.8761,
63,,22-Nov,,,,1:12 PM,,
64,20-Nov,22-Nov,0.4258,0.4102,17.673,1:12 PM,15.5884,
65,20-Nov,22-Nov,0.4182,0.3911,17.461,1:12 PM,15.4037,
66,20-Nov,22-Nov,0.42,0.4325,17.2959,1:12 PM,14.8393,
67,20-Nov,22-Nov,0.3959,0.3357,37.299,1:12 PM,34.9026,
68,20-Nov,22-Nov,0.4672,0.4625,36.7392,1:12 PM,33.0809,
