Bee_ID,Colony,Treatment,Wing_MM,Final_date,Final_time,Final_pollen_weight,Final_sucrose_weight,Initial_date,Initial_time,Initial_pollen_weight,Initial_sucrose_weight,Net_pollen,Net_sucrose,Notes
1,UN1,baccharis,2.626,1/14/2021,0.747222222,0.3262,10.6101,1/12/2021,0.747222222,0.3386,12.6999,0.0124,2.0898,
2,UN1,baccharis,2.487,1/14/2021,0.746527778,0.3124,10.2532,1/12/2021,0.748611111,0.3346,12.375,0.0222,2.1218,
3,UN2,baccharis,2.58,1/14/2021,0.747916667,0.319,10.5501,1/12/2021,0.748611111,0.3362,12.8774,0.0172,2.3273,
4,UN2,baccharis,2.575,1/14/2021,0.748611111,0.3297,10.6739,1/12/2021,0.748611111,0.3487,12.8462,0.019,2.1723,
5,UN4,baccharis,3.009,1/14/2021,0.745833333,0.2987,10.5608,1/12/2021,0.749305556,0.3331,13.5618,0.0344,3.001,
6,UN4,baccharis,2.501,1/14/2021,0.749305556,0.317,10.9804,1/12/2021,0.75,0.3382,13.3326,0.0212,2.3522,
7,UN1,dog fennel,2.229,1/14/2021,0.752777778,0.2611,10.6654,1/12/2021,0.752083333,0.332,12.3189,0.0709,1.6535,
8,UN1,dog fennel,2.581,1/14/2021,0.753472222,0.2574,10.824,1/12/2021,0.752083333,0.3477,13.0274,0.0903,2.2034,
9,UN2,dog fennel,2.587,1/14/2021,0.754166667,0.2491,10.9855,1/12/2021,0.753472222,0.3458,12.9938,0.0967,2.0083,
10,UN2,dog fennel,2.687,1/14/2021,0.754861111,0.2312,10.2401,1/12/2021,0.753472222,0.3154,12.474,0.0842,2.2339,
11,UN4,dog fennel,n/a,1/14/2021,0.75625,0.2914,10.0057,1/12/2021,0.754861111,0.3219,12.4088,0.0305,2.4031,
12,UN4,dog fennel,2.494,1/14/2021,0.756944444,0.2595,11.3496,1/12/2021,0.754861111,0.3444,13.0512,0.0849,1.7016,
13,UN1,sagebrush,3.09,1/14/2021,0.773611111,0.2408,10.3443,1/12/2021,0.758333333,0.3272,12.6528,0.0864,2.3085,
14,UN1,sagebrush,2.493,1/14/2021,0.774305556,0.2783,10.1914,1/12/2021,0.758333333,0.3729,12.2266,0.0946,2.0352,
15,UN2,sagebrush,2.382,1/14/2021,0.775,0.2686,11.3501,1/12/2021,0.759027778,0.3317,13.332,0.0631,1.9819,
16,UN2,sagebrush,2.755,1/14/2021,0.775694444,0.2476,8.6613,1/12/2021,0.759027778,0.3166,10.9954,0.069,2.3341,
17,UN4,sagebrush,2.948,1/14/2021,0.778472222,0.2663,10.1428,1/12/2021,0.759722222,0.3438,12.4556,0.0775,2.3128,
18,UN4,sagebrush,2.608,1/14/2021,0.777777778,0.2554,10.1826,1/12/2021,0.759722222,0.3264,12.3289,0.071,2.1463,
19,UN1,dandelion,2.899,1/14/2021,0.779861111,0.3269,9.5824,1/12/2021,0.761805556,0.3239,11.9242,-0.003,2.3418,
20,UN1,dandelion,2.64,1/14/2021,0.78125,0.2873,10.2619,1/12/2021,0.761805556,0.3213,12.1365,0.034,1.8746,
21,UN2,dandelion,2.543,1/14/2021,0.782638889,0.3242,10.5543,1/12/2021,0.763194444,0.335,12.5678,0.0108,2.0135,
22,UN2,dandelion,2.163,1/14/2021,0.781944444,0.2977,10.2065,1/12/2021,0.763194444,0.3169,11.8323,0.0192,1.6258,
23,UN4,dandelion,2.317,1/14/2021,0.780555556,0.2767,10.1818,1/12/2021,0.763888889,0.332,11.9328,0.0553,1.751,
24,UN4,dandelion,2.603,1/14/2021,0.783333333,0.3301,10.8897,1/12/2021,0.765972222,0.321,12.8823,-0.0091,1.9926,
25,UN1,red maple,2.925,1/14/2021,0.785416667,0.3031,9.5652,1/12/2021,0.766666667,0.3264,12.2247,0.0233,2.6595,"pooped while transferring to microcolony container, may affect crithidia count"
26,UN1,red maple,2.963,1/14/2021,0.786111111,0.2729,9.5703,1/12/2021,0.766666667,0.3349,11.8864,0.062,2.3161,
27,UN2,red maple,2.287,1/14/2021,0.786805556,0.2807,10.319,1/12/2021,0.768055556,0.3163,12.5365,0.0356,2.2175,
28,UN2,red maple,2.552,1/14/2021,0.7875,0.2685,9.9433,1/12/2021,0.768055556,0.3068,11.6739,0.0383,1.7306,
29,UN4,red maple,2.707,1/14/2021,0.788194444,0.2904,9.0268,1/12/2021,0.76875,0.3224,11.5833,0.032,2.5565,
30,UN4,red maple,2.744,1/14/2021,0.788888889,0.286,9.9156,1/12/2021,0.76875,0.3282,12.2593,0.0422,2.3437,
31,UN1,sunflower,2.7,1/14/2021,0.790277778,0.322,10.0397,1/12/2021,0.770833333,0.3308,12.172,0.0088,2.1323,
32,UN1,sunflower,2.674,1/14/2021,0.790277778,0.2988,10.3927,1/12/2021,0.770833333,0.3184,12.3501,0.0196,1.9574,
33,UN2,sunflower,1.976,1/14/2021,0.790972222,0.3137,10.0209,1/12/2021,0.771527778,0.3345,11.7656,0.0208,1.7447,
34,UN2,sunflower,2.512,1/14/2021,0.791666667,0.2822,10.3365,1/12/2021,0.772222222,0.3395,12.5895,0.0573,2.253,
35,UN4,sunflower,2.435,1/14/2021,0.792361111,0.2909,9.5532,1/12/2021,0.772916667,0.3259,12.0839,0.035,2.5307,
36,UN4,sunflower,2.462,1/14/2021,0.793055556,0.3023,10.137,1/12/2021,0.772916667,0.3464,12.0912,0.0441,1.9542,
37,UN1,buckwheat,2.623,1/14/2021,0.795138889,0.2847,10.4206,1/12/2021,0.775694444,0.3523,12.5274,0.0676,2.1068,"pooped while transferring to microcolony container, may affect crithidia count"
