Bee_ID,Colony,Inoc_Date,Treatment,Count,Wing_MM,Dead,Death_date,Notes,LAB
1,UN1,1/12/2021,baccharis,113,2.626,N,1/19/2021,diluted 50%,Irwin
2,UN1,1/12/2021,baccharis,0,2.487,N,1/19/2021,,Irwin
3,UN2,1/12/2021,baccharis,0,2.58,N,1/19/2021,,Irwin
4,UN2,1/12/2021,baccharis,15,2.575,N,1/19/2021,,Irwin
5,UN4,1/12/2021,baccharis,54,3.009,N,1/19/2021,diluted 50%,Irwin
6,UN4,1/12/2021,baccharis,1,2.501,N,1/19/2021,,Irwin
7,UN1,1/12/2021,dog fennel,30,2.229,N,1/19/2021,,Irwin
8,UN1,1/12/2021,dog fennel,22,2.581,N,1/19/2021,,Irwin
9,UN2,1/12/2021,dog fennel,17,2.587,N,1/19/2021,,Irwin
10,UN2,1/12/2021,dog fennel,45,2.687,N,1/19/2021,,Irwin
11,UN4,1/12/2021,dog fennel,n/a,n/a,Y,1/16/2021,,Irwin
12,UN4,1/12/2021,dog fennel,0,2.494,N,1/19/2021,,Irwin
13,UN1,1/12/2021,sagebrush,1,3.09,N,1/19/2021,,Irwin
14,UN1,1/12/2021,sagebrush,48,2.493,N,1/19/2021,,Irwin
15,UN2,1/12/2021,sagebrush,10,2.382,N,1/19/2021,,Irwin
16,UN2,1/12/2021,sagebrush,26,2.755,N,1/19/2021,,Irwin
17,UN4,1/12/2021,sagebrush,42,2.948,N,1/19/2021,,Irwin
18,UN4,1/12/2021,sagebrush,51,2.608,N,1/19/2021,,Irwin
19,UN1,1/12/2021,dandelion,3,2.899,N,1/19/2021,,Irwin
20,UN1,1/12/2021,dandelion,0,2.64,N,1/19/2021,,Irwin
21,UN2,1/12/2021,dandelion,0,2.543,N,1/19/2021,,Irwin
22,UN2,1/12/2021,dandelion,0,2.163,N,1/19/2021,,Irwin
23,UN4,1/12/2021,dandelion,0,2.317,N,1/19/2021,,Irwin
24,UN4,1/12/2021,dandelion,9,2.603,N,1/19/2021,,Irwin
25,UN1,1/12/2021,red maple,25,2.925,N,1/19/2021,,Irwin
26,UN1,1/12/2021,red maple,29,2.963,N,1/19/2021,,Irwin
27,UN2,1/12/2021,red maple,10,2.287,N,1/19/2021,,Irwin
28,UN2,1/12/2021,red maple,24,2.552,N,1/19/2021,,Irwin
29,UN4,1/12/2021,red maple,102,2.707,N,1/19/2021,diluted-100 uL water: 10 uL supernatant,Irwin
30,UN4,1/12/2021,red maple,64,2.744,N,1/19/2021,,Irwin
31,UN1,1/12/2021,sunflower,0,2.7,N,1/19/2021,,Irwin
32,UN1,1/12/2021,sunflower,0,2.674,N,1/19/2021,,Irwin
33,UN2,1/12/2021,sunflower,2,1.976,N,1/19/2021,,Irwin
34,UN2,1/12/2021,sunflower,5,2.512,N,1/19/2021,,Irwin
35,UN4,1/12/2021,sunflower,0,2.435,N,1/19/2021,,Irwin
36,UN4,1/12/2021,sunflower,0,2.462,N,1/19/2021,,Irwin
37,UN1,1/12/2021,buckwheat,175,2.623,N,1/19/2021,,Irwin
38,UN1,1/12/2021,buckwheat,105,2.48,N,1/19/2021,diluted- 40 uL water: 10 uL supernatant,Irwin
39,UN2,1/12/2021,buckwheat,87,2.103,N,1/19/2021,,Irwin
40,UN2,1/12/2021,buckwheat,12,2.496,N,1/19/2021,,Irwin
41,UN4,1/12/2021,buckwheat,95,2.781,N,1/19/2021,,Irwin
42,UN4,1/12/2021,buckwheat,2,2.65,N,1/19/2021,,Irwin
78,UN1,1/18/2021,baccharis,223,2.601,N,1/25/2021,78-101 may have sat too long- 4-4.5 hours before crithidia counts,Irwin
79,UN1,1/18/2021,baccharis,3,2.006,N,1/25/2021,,Irwin
80,UN2,1/18/2021,baccharis,1,2.573,N,1/25/2021,,Irwin
81,UN2,1/18/2021,baccharis,7,2.275,N,1/25/2021,,Irwin
82,UN4,1/18/2021,baccharis,n/a,n/a,Y,1/22/2021,Escaped!,Irwin
83,UN4,1/18/2021,baccharis,4,3.03,N,1/25/2021,,Irwin
84,UN1,1/18/2021,dog fennel,7,2.662,N,1/25/2021,,Irwin
85,UN1,1/18/2021,dog fennel,3,2.516,N,1/25/2021,,Irwin
86,UN2,1/18/2021,dog fennel,21,2.56,N,1/25/2021,,Irwin
87,UN2,1/18/2021,dog fennel,0,2.458,N,1/25/2021,,Irwin
88,UN4,1/18/2021,dog fennel,0,2.481,N,1/25/2021,,Irwin
89,UN4,1/18/2021,dog fennel,2,2.674,N,1/25/2021,,Irwin
90,UN1,1/18/2021,sagebrush,1,2.766,N,1/25/2021,,Irwin
91,UN1,1/18/2021,sagebrush,36,2.584,N,1/25/2021,,Irwin
92,UN2,1/18/2021,sagebrush,1,2.517,N,1/25/2021,,Irwin
93,UN2,1/18/2021,sagebrush,92,2.54,N,1/25/2021,diluted 1/3,Irwin
94,UN4,1/18/2021,sagebrush,2,2.734,N,1/25/2021,,Irwin
95,UN4,1/18/2021,sagebrush,21,2.471,N,1/25/2021,,Irwin
96,UN1,1/18/2021,dandelion,0,2.431,N,1/25/2021,,Irwin
97,UN1,1/18/2021,dandelion,0,2.652,N,1/25/2021,,Irwin
98,UN2,1/18/2021,dandelion,1,2.339,N,1/25/2021,,Irwin
