Bee_ID,colony,inoc_date,treatment,species,pollen_form,count,wing_MM,dead,death_date,notes
7,UN1,4/5/2021,BW-CON,Buckwheat,CON,25,,N,4/12/2021,
8,UN1,4/5/2021,BW-CON,Buckwheat,CON,95,,N,4/12/2021,
9,UN2,4/5/2021,BW-CON,Buckwheat,CON,5,,N,4/12/2021,
10,UN2,4/5/2021,BW-CON,Buckwheat,CON,0,,N,4/12/2021,
11,UN3,4/5/2021,BW-CON,Buckwheat,CON,58,,N,4/12/2021,
12,UN3,4/5/2021,BW-CON,Buckwheat,CON,9,,N,4/12/2021,
49,UN1,4/6/2021,BW-CON,Buckwheat,CON,5,,N,4/13/2021,
50,UN1,4/6/2021,BW-CON,Buckwheat,CON,1,,N,4/13/2021,
51,UN2,4/6/2021,BW-CON,Buckwheat,CON,2,,N,4/13/2021,
52,UN2,4/6/2021,BW-CON,Buckwheat,CON,1,,N,4/13/2021,
53,UN3,4/6/2021,BW-CON,Buckwheat,CON,107,,N,4/13/2021,
54,UN3,4/6/2021,BW-CON,Buckwheat,CON,20,,N,4/13/2021,
91,UN1,4/15/2021,BW-CON,Buckwheat,CON,43,,N,4/22/2021,
92,UN1,4/15/2021,BW-CON,Buckwheat,CON,57,,N,4/22/2021,
93,UN2,4/15/2021,BW-CON,Buckwheat,CON,159,,N,4/22/2021,
94,UN2,4/15/2021,BW-CON,Buckwheat,CON,0,,N,4/22/2021,
95,UN3,4/15/2021,BW-CON,Buckwheat,CON,28,,N,4/22/2021,
96,UN3,4/15/2021,BW-CON,Buckwheat,CON,5,,N,4/22/2021,
133,UN1,4/17/2021,BW-CON,Buckwheat,CON,94,,N,4/24/2021,
134,UN1,4/17/2021,BW-CON,Buckwheat,CON,74,,N,4/24/2021,
135,UN2,4/17/2021,BW-CON,Buckwheat,CON,229,,N,4/24/2021,
136,UN2,4/17/2021,BW-CON,Buckwheat,CON,16,,N,4/24/2021,
137,UN3,4/17/2021,BW-CON,Buckwheat,CON,96,,N,4/24/2021,
138,UN3,4/17/2021,BW-CON,Buckwheat,CON,231,,N,4/24/2021,
175,UN1,4/19/2021,BW-CON,Buckwheat,CON,307,,N,4/26/2021,
176,UN1,4/19/2021,BW-CON,Buckwheat,CON,144,,N,4/26/2021,
177,UN2,4/19/2021,BW-CON,Buckwheat,CON,14,,N,4/26/2021,
178,UN2,4/19/2021,BW-CON,Buckwheat,CON,,N/A,Y,4/22/2021,
179,UN3,4/19/2021,BW-CON,Buckwheat,CON,9,,N,4/26/2021,
180,UN3,4/19/2021,BW-CON,Buckwheat,CON,66,,N,4/26/2021,
217,UN1,4/23/2021,BW-CON,Buckwheat,CON,,N/A,Y,4/25/2021,
218,UN1,4/23/2021,BW-CON,Buckwheat,CON,373,,N,4/30/2021,
219,UN2,4/23/2021,BW-CON,Buckwheat,CON,45,,N,4/30/2021,
220,UN2,4/23/2021,BW-CON,Buckwheat,CON,8,,N,4/30/2021,
221,UN3,4/23/2021,BW-CON,Buckwheat,CON,8,,N,4/30/2021,
222,UN3,4/23/2021,BW-CON,Buckwheat,CON,39,,N,4/30/2021,
259,UN1,4/29/2021,BW-CON,Buckwheat,CON,,N/A,Y,5/2/2021,
260,UN1,4/29/2021,BW-CON,Buckwheat,CON,,N/A,Y,5/2/2021,
261,UN2,4/29/2021,BW-CON,Buckwheat,CON,4,,N,5/6/2021,
262,UN2,4/29/2021,BW-CON,Buckwheat,CON,1,,N,5/6/2021,
263,UN3,4/29/2021,BW-CON,Buckwheat,CON,86,,N,5/6/2021,
264,UN3,4/29/2021,BW-CON,Buckwheat,CON,37,,N,5/6/2021,
37,UN1,4/5/2021,BW-MET,Buckwheat,MET,2,,N,4/12/2021,
38,UN1,4/5/2021,BW-MET,Buckwheat,MET,15,,N,4/12/2021,
39,UN2,4/5/2021,BW-MET,Buckwheat,MET,1,,N,4/12/2021,
40,UN2,4/5/2021,BW-MET,Buckwheat,MET,72,,N,4/12/2021,
41,UN3,4/5/2021,BW-MET,Buckwheat,MET,15,,N,4/12/2021,
42,UN3,4/5/2021,BW-MET,Buckwheat,MET,14,,N,4/12/2021,
79,UN1,4/6/2021,BW-MET,Buckwheat,MET,61,,N,4/13/2021,
80,UN1,4/6/2021,BW-MET,Buckwheat,MET,1,,N,4/13/2021,
81,UN2,4/6/2021,BW-MET,Buckwheat,MET,,N/A,Y,4/10/2021,
82,UN2,4/6/2021,BW-MET,Buckwheat,MET,0,,N,4/13/2021,
83,UN3,4/6/2021,BW-MET,Buckwheat,MET,76,,N,4/13/2021,
84,UN3,4/6/2021,BW-MET,Buckwheat,MET,0,,N,4/13/2021,
121,UN1,4/15/2021,BW-MET,Buckwheat,MET,0,,N,4/22/2021,
122,UN1,4/15/2021,BW-MET,Buckwheat,MET,1,,N,4/22/2021,
123,UN2,4/15/2021,BW-MET,Buckwheat,MET,0,,N,4/22/2021,
124,UN2,4/15/2021,BW-MET,Buckwheat,MET,0,,N,4/22/2021,
125,UN3,4/15/2021,BW-MET,Buckwheat,MET,0,,N,4/22/2021,
126,UN3,4/15/2021,BW-MET,Buckwheat,MET,0,,N,4/22/2021,
163,UN1,4/17/2021,BW-MET,Buckwheat,MET,13,,N,4/24/2021,
164,UN1,4/17/2021,BW-MET,Buckwheat,MET,35,,N,4/24/2021,
165,UN2,4/17/2021,BW-MET,Buckwheat,MET,81,,N,4/24/2021,
166,UN2,4/17/2021,BW-MET,Buckwheat,MET,39,,N,4/24/2021,
167,UN3,4/17/2021,BW-MET,Buckwheat,MET,17,,N,4/24/2021,
168,UN3,4/17/2021,BW-MET,Buckwheat,MET,47,,N,4/24/2021,
205,UN1,4/19/2021,BW-MET,Buckwheat,MET,0,,N,4/26/2021,
206,UN1,4/19/2021,BW-MET,Buckwheat,MET,,N/A,Y,4/26/2021,
207,UN2,4/19/2021,BW-MET,Buckwheat,MET,14,,N,4/26/2021,
208,UN2,4/19/2021,BW-MET,Buckwheat,MET,43,,N,4/26/2021,
209,UN3,4/19/2021,BW-MET,Buckwheat,MET,1,,N,4/26/2021,
210,UN3,4/19/2021,BW-MET,Buckwheat,MET,1,,N,4/26/2021,
247,UN1,4/23/2021,BW-MET,Buckwheat,MET,0,,N,4/30/2021,
