Bee_ID,Wing_size
1,2.801
2,2.35
3,2.674
4,2.922
5,2.71
6,2.698
7,2.353
8,2.311
9,2.51
10,2.64
11,2.601
12,2.102
13,2.58
14,2.631
15,2.704
16,2.63
17,2.79
18,2.534
19,2.38
20,2.55
21,2.001
22,3.097
23,2.447
24,2.26
25,2.429
26,2.58
27,2.706
28,2.491
29,2.335
30,2.241
31,2.421
32,2.81
33,2.923
34,2.602
35,2.401
36,2.842
37,2.543
38,2.597
39,2.734
40,2.546
41,2.152
42,2.489
43,2.407
44,2.947
45,3.032
46,2.651
47,2.507
48,2.848
49,2.714
50,2.836
51,3.246
52,2.862
53,2.518
54,2.644
55,2.994
56,2.207
57,2.476
58,2.495
59,3.121
60,2.741
61,2.632
62,2.634
63,2.744
64,2.882
65,2.148
66,2.674
67,1.75
68,2.751
69,2.48
70,2.289
71,2.767
72,2.656
73,2.263
74,2.252
75,2.524
76,2.682
77,2.422
78,2.52
79,2.24
80,2.421
82,2.568
83,2.767
84,2.84
85,2.565
86,2.674
87,2.525
88,2.738
89,2.795
90,2.401
91,2.393
92,2.531
93,2.57
94,2.851
95,2.815
96,2.482
97,2.301
98,2.432
99,2.884
100,2.414
101,2.18
102,2.596
103,2.279
104,2.81
105,2.387
106,2.27
107,2.34
108,2.38
109,2.538
110,2.712
111,2.439
112,2.613
113,2.236
114,2.467
115,2.547
116,2.339
117,2.634
118,2.808
119,2.167
121,2.367
122,2.347
123,2.237
124,2.421
125,2.563
126,2.021
127,2.681
128,2.626
129,2.117
130,2.48
131,2.698
132,2.463
133,2.308
134,2.401
135,2.725
136,2.771
137,2.323
138,2.752
139,2.86
140,2.651
141,2.51
142,2.66
143,2.285
144,2.351
145,2.403
146,2.734
147,2.535
148,2.54
149,2.691
150,2.761
151,2.447
152,2.696
153,2.62
155,2.675
156,2.632
157,2.674
158,2.343
159,2.955
160,2.675
161,2.421
162,2.729
163,2.583
164,2.392
165,2.86
166,2.53
168,2.84
169,2.639
170,2.767
171,2.475
172,2.776
173,3.078
174,3.027
175,2.776
176,2.989
177,2.507
179,2.57
180,2.761
181,2.662
182,2.628
183,2.721
184,2.276
185,2.894
186,2.674
187,2.661
188,2.689
189,2.824
190,2.67
191,2.886
192,2.781
193,2.71
194,2.853
196,2.472
197,2.556
198,2.644
199,2.563
201,2.6
202,2.35
203,2.912
204,2.813
205,2.553
207,2.834
208,2.608
209,2.281
210,2.822
212,2.515
213,2.227
214,2.467
215,2.484
216,2.58
218,2.748
219,2.781
220,2.029
221,2.246
222,2.334
223,2.547
224,2.379
226,2.597
227,2.768
228,2.683
229,2.48
231,2.774
232,2.72
233,2.314
234,2.361
235,2.236
236,2.582
237,2.687
238,2.764
239,2.635
240,2.656
242,2.481
243,2.895
244,2.624
245,2.52
246,2.531
247,2.556
248,2.527
249,2.302
250,2.63
251,2.35
252,2.702
256,2.536
257,2.707
258,2.385
261,2.734
262,2.941
263,2.789
264,2.568
268,2.595
269,2.667
270,2.727
272,2.943
273,2.372
274,2.622
275,2.767
276,2.52
277,2.669
278,2.452
279,2.354
280,2.414
281,2.454
282,2.182
285,2.232
286,2.075
287,2.471
288,2.32
290,2.336
291,2.861
292,2.735
293,2.698
294,2.867
167,2.592
211,2.383
